"Date","Open","High","Low","Close"
"08 May 2019","11788.90","11793.05","11666.85","11679.30"
"07 May 2019","11948.65","11972.60","11804.10","11816.50"
"06 May 2019","11963.80","12018.85","11902.80","11919.45"
"03 May 2019","12161.20","12183.70","12052.70","12064.90"
"02 May 2019","12248.50","12296.00","12150.90","12172.50"
"30 Apr 2019","12250.40","12258.75","12150.50","12250.90"
"26 Apr 2019","12276.70","12288.25","12195.55","12243.75"
"25 Apr 2019","12317.40","12348.75","12219.45","12234.25"
"24 Apr 2019","12178.35","12315.30","12173.65","12296.10"
"23 Apr 2019","12161.55","12185.25","12117.25","12154.45"
"22 Apr 2019","12248.90","12248.90","12131.80","12143.90"
"18 Apr 2019","12334.70","12349.45","12240.90","12276.10"
"16 Apr 2019","12296.35","12323.70","12287.20","12306.00"
"15 Apr 2019","12259.80","12285.70","12220.25","12268.00"
"12 Apr 2019","12177.60","12245.35","12160.40","12228.70"
"11 Apr 2019","12161.10","12184.15","12110.80","12172.20"
"10 Apr 2019","12176.60","12214.45","12147.80","12159.65"
"09 Apr 2019","12132.40","12191.70","12062.30","12173.50"
"08 Apr 2019","12225.65","12241.20","12065.85","12131.95"
"05 Apr 2019","12169.90","12230.95","12151.80","12213.05"
"04 Apr 2019","12186.65","12187.25","12074.60","12135.55"
"03 Apr 2019","12248.60","12277.70","12150.40","12169.15"
"02 Apr 2019","12246.50","12256.45","12167.85","12220.65"
"01 Apr 2019","12225.30","12282.35","12192.25","12210.65"
"29 Mar 2019","12159.05","12202.10","12140.80","12187.90"
"28 Mar 2019","11938.10","12131.85","11931.65","12105.65"
"27 Mar 2019","11962.00","11973.80","11882.30","11917.20"
"26 Mar 2019","11864.45","11940.90","11832.30","11932.85"
"25 Mar 2019","11888.40","11888.65","11810.80","11834.10"
"22 Mar 2019","12033.40","12057.90","11928.90","11954.60"
"20 Mar 2019","12031.60","12081.30","12000.00","12012.95"
"19 Mar 2019","11996.70","12021.20","11942.85","12002.00"
"18 Mar 2019","12033.55","12044.95","11920.05","11950.20"
"15 Mar 2019","11987.90","12029.35","11946.05","11968.55"
"14 Mar 2019","12019.50","12023.50","11920.50","11943.40"
"13 Mar 2019","12060.65","12075.85","11965.40","11975.40"
"12 Mar 2019","12023.15","12101.85","12011.90","12031.80"
"11 Mar 2019","11841.55","11972.55","11838.20","11961.15"
"08 Mar 2019","11846.45","11869.35","11794.80","11820.10"
"07 Mar 2019","11899.70","11934.40","11816.90","11835.35"
"06 Mar 2019","11914.90","11932.10","11832.40","11880.20"
"05 Mar 2019","11768.80","11863.80","11751.50","11856.50"
"01 Mar 2019","11697.40","11766.30","11695.70","11754.60"
"28 Feb 2019","11671.25","11681.75","11614.80","11655.20"
"27 Feb 2019","11684.40","11750.90","11522.85","11611.30"
"26 Feb 2019","11556.10","11662.35","11462.35","11624.90"
"25 Feb 2019","11626.65","11671.20","11620.30","11658.05"
"22 Feb 2019","11566.05","11619.90","11554.80","11586.70"
"21 Feb 2019","11496.60","11590.20","11469.95","11568.75"
"20 Feb 2019","11426.60","11512.80","11409.30","11499.40"
"19 Feb 2019","11426.05","11472.45","11358.25","11379.60"
"18 Feb 2019","11542.10","11569.70","11404.60","11426.15"
"15 Feb 2019","11703.05","11703.50","11445.25","11558.45"
"14 Feb 2019","11643.55","11705.05","11597.15","11692.60"
"13 Feb 2019","11741.00","11760.35","11635.25","11663.90"
"12 Feb 2019","11736.40","11762.35","11612.45","11706.15"
"11 Feb 2019","11935.85","11939.90","11725.45","11739.70"
"08 Feb 2019","12030.05","12073.15","11941.45","11955.65"
"07 Feb 2019","12000.85","12108.40","11996.95","12073.85"
"06 Feb 2019","11995.20","12058.70","11925.35","12047.85"
"05 Feb 2019","11916.40","11984.05","11878.30","11911.65"
"04 Feb 2019","11963.00","11964.30","11821.60","11916.00"
"01 Feb 2019","11873.35","11990.50","11831.30","11969.35"
